1	3391
114	3504
227	3617
340	3730
453	3843
566	3956
679	4069
792	4182
905	4295
1018	4408
1131	4521
1244	4634
1357	4747
1470	4860
1583	4973
1696	5086
1809	5199
1922	5312
2035	5425
2148	5538
2261	5651
2374	5764
2487	5877
2600	5990
2713	6103
2826	6216
2939	6329
3052	6442
3165	6555
3278	6668
2	3505
115	3618
228	3731
341	3844
454	3957
567	4070
680	4183
793	4296
906	4409
1019	4522
1132	4635
1245	4748
1358	4861
1471	4974
1584	5087
1697	5200
1810	5313
1923	5426
2036	5539
2149	5652
2262	5765
2375	5878
2488	5991
2601	6104
2714	6217
2827	6330
2940	6443
3053	6556
3166	6669
3279	3392
3	3619
116	3732
229	3845
342	3958
455	4071
568	4184
681	4297
794	4410
907	4523
1020	4636
1133	4749
1246	4862
1359	4975
1472	5088
1585	5201
1698	5314
1811	5427
1924	5540
2037	5653
2150	5766
2263	5879
2376	5992
2489	6105
2602	6218
2715	6331
2828	6444
2941	6557
3054	6670
3167	3393
3280	3506
4	3733
117	3846
230	3959
343	4072
456	4185
569	4298
682	4411
795	4524
908	4637
1021	4750
1134	4863
1247	4976
1360	5089
1473	5202
1586	5315
1699	5428
1812	5541
1925	5654
2038	5767
2151	5880
2264	5993
2377	6106
2490	6219
2603	6332
2716	6445
2829	6558
2942	6671
3055	3394
3168	3507
3281	3620
5	3847
118	3960
231	4073
344	4186
457	4299
570	4412
683	4525
796	4638
909	4751
1022	4864
1135	4977
1248	5090
1361	5203
1474	5316
1587	5429
1700	5542
1813	5655
1926	5768
2039	5881
2152	5994
2265	6107
2378	6220
2491	6333
2604	6446
2717	6559
2830	6672
2943	3395
3056	3508
3169	3621
3282	3734
6	3961
119	4074
232	4187
345	4300
458	4413
571	4526
684	4639
797	4752
910	4865
1023	4978
1136	5091
1249	5204
1362	5317
1475	5430
1588	5543
1701	5656
1814	5769
1927	5882
2040	5995
2153	6108
2266	6221
2379	6334
2492	6447
2605	6560
2718	6673
2831	3396
2944	3509
3057	3622
3170	3735
3283	3848
7	4075
120	4188
