1	111
12	122
23	133
34	144
45	155
56	166
67	177
78	188
89	199
100	210
2	123
13	134
24	145
35	156
46	167
57	178
68	189
79	200
90	211
101	112
3	135
14	146
25	157
36	168
47	179
58	190
69	201
80	212
91	113
102	124
4	147
15	158
26	169
37	180
48	191
59	202
70	213
81	114
92	125
103	136
5	159
16	170
27	181
38	192
49	203
60	214
71	115
82	126
93	137
104	148
6	171
17	182
28	193
39	204
50	215
61	116
72	127
83	138
94	149
105	160
7	183
18	194
29	205
40	216
51	117
62	128
73	139
84	150
95	161
106	172
8	195
19	206
30	217
41	118
52	129
63	140
74	151
85	162
96	173
107	184
9	207
20	218
31	119
42	130
53	141
64	152
75	163
86	174
97	185
108	196
10	219
21	120
32	131
43	142
54	153
65	164
76	175
87	186
98	197
109	208
11	121
22	132
33	143
44	154
55	165
66	176
77	187
88	198
99	209
110	220
